City,District_Code,Thefts_2017,Thefts_2018,Thefts_2019,Users_2018,Users_2019,Users_2020,Theft_Rate_2017,Theft_Rate_2018,Theft_Rate_2019,Population_2011,,
Ahmedabad (Gujarat),IN.GJ.AH,1229,1084,1312,572811,1450100,2185983,51.1,44.7,45.8,7214225,,
Bengaluru (Karnataka),"IN.KA.BN, IN.KA.BU",4649,3944,2945,1922368,5003207,7564577,127.1,110.4,90.8,10612474,,
Chennai (Tamil Nadu),IN.TN.CH,2353,2150,1828,292004,830586,1340762,47.8,44.7,41.6,4646732,,
Coimbatore (Tamil Nadu),IN.TN.CM,247,244,199,170306,495350,868832,20.9,25.1,23.2,3458045,,
Delhi,IN.DL.WE,123870,136342,196801,2087022,5499263,7826197,991.8,1096.9,1487.2,16787941,,
Ghaziabad (Uttar Pradesh),IN.UP.GZ,701,907,622,329683,859583,1296464,131.2,146.1,139.8,4681645,,
Hyderabad (Telangana),"IN.TG.RA, IN.TG.HY",1620,1431,1596,655175,1638436,2483843,32.4,28.8,32.4,3943323,,
Indore (Madhya Pradesh),IN.MP.IN,732,692,627,366977,844465,1287857,171.2,173.3,168.3,3276697,,
Jaipur (Rajasthan),IN.RJ.JP,1867,1939,3626,900773,2060175,2966508,220.2,263.2,390,6626178,,
Kanpur (Uttar Pradesh),IN.UP.KN,460,460,314,208389,511583,788847,62.8,62.8,40.1,4581268,,
Kochi (Kerala),IN.KL.ER,190,214,172,159188,409812,716945,14.7,14.2,12.7,3282388,,
Kolkata (West Bengal),"IN.WB.KO, IN.WB.HR",2965,2216,2216,306503,868126,1336585,24.8,18.5,18.5,4496694,,
Kozhikode (Kerala),IN.KL.KZ,106,122,107,83422,212403,404139,10.8,10.5,11.2,3086293,,
Lucknow (Uttar Pradesh),IN.UP.LU,1576,1294,1048,380070,896208,1329098,161.2,134.3,100.6,4589838,,
Mumbai (Maharashtra),IN.MH.MC,6705,6265,5891,952838,2571304,3897887,52.8,51.4,46.6,12442373,,
Nagpur (Maharashtra),IN.MH.NG,1545,1196,1022,280007,765612,1251510,126.1,105.5,96.3,4653570,,
Patna (Bihar),IN.BR.PA,1463,1077,1385,425009,964432,1397342,212.3,217,248.6,5838465,,
Pune (Maharashtra),IN.MH.PU,2297,1581,1367,1211643,3038402,4802397,108.2,70.3,60.3,9429408,,
Surat (Gujarat),"IN.GJ.SR, IN.GJ.TP",639,744,1845,489852,1180819,1772703,41.5,45.5,70.3,6081322,,
,,,,,,,,,,,,,
